col_0,col_1,text_lower,text_contacts_masked,text_numbers,text_stripped,text_whitespace,text_stopwords_removed,text_clean
ham,Well i know Z will take care of me. So no worries.,well i know z will take care of me. so no worries.,Well i know Z will take care of me. So no worries.,Well i know Z will take care of me. So no worries.,Well i know Z will take care of me. So no worries,Well i know Z will take care of me. So no worries.,Well i know Z take care me. So no worries.,well i know z will take care of me. so no worries
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","update_now - xmas offer! latest motorola, sonyericsson & nokia & free bluetooth! double mins & 1000 txt on orange. call mobileupd8 on 08000839402 or call2optout/f4q=","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & <NUM> Txt on Orange. Call MobileUpd8 on <NUM> or call2optout/F4Q=","Update_Now Xmas Offer! Latest Motorola, SonyEricsson Nokia FREE Bluetooth! Double Mins 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt Orange. Call MobileUpd8 08000839402 or call2optout/F4Q=","update_now xmas offer! latest motorola, sonyericsson nokia free bluetooth! double mins <NUM> txt on orange. call mobileupd8 on <NUM> or call2optout/f4q"
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,here is your discount code rp176781. to stop further messages reply stop. www.regalportfolio.co.uk. customer services 08717205546,Here is your discount code RP176781. To stop further messages reply stop. <URL> Customer Services 08717205546,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services <NUM>,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,Here your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,here is your discount code rp176781. to stop further messages reply stop. <URL> customer services <NUM>
ham,Wat uniform? In where get?,wat uniform? in where get?,Wat uniform? In where get?,Wat uniform? In where get?,Wat uniform? In where get,Wat uniform? In where get?,Wat uniform? In where get?,wat uniform? in where get
ham,"Cool, text me when you're ready","cool, text me when you're ready","Cool, text me when you're ready","Cool, text me when you're ready","Cool, text me when you're ready","Cool, text me when you're ready","Cool, text me when you're ready","cool, text me when you're ready"
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...","hello my boytoy ... geeee i miss you already and i just woke up. i wish you were here in bed with me, cuddling me. i love you ...","Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...","Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...","Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ","Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...","Hello my boytoy ... Geeee I miss you already I just woke up. I wish you were here bed me, cuddling me. I love you ...","hello my boytoy ... geeee i miss you already and i just woke up. i wish you were here in bed with me, cuddling me. i love you "
ham,I will spoil you in bed as well :),i will spoil you in bed as well :),I will spoil you in bed as well :),I will spoil you in bed as well :),I will spoil you in bed as well ,I will spoil you in bed as well :),I spoil you bed well :),i will spoil you in bed as well 
ham,I'm going for bath will msg you next  &lt;#&gt;  min..,i'm going for bath will msg you next  &lt;#&gt;  min..,I'm going for bath will msg you next  &lt;#&gt;  min..,I'm going for bath will msg you next  &lt;#&gt;  min..,I'm going for bath will msg you next  &lt;#&gt;  min,I'm going for bath will msg you next &lt;#&gt; min..,I'm going bath msg you next &lt;#&gt; min..,i'm going for bath will msg you next &lt;#&gt; min
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,i cant keep talking to people if am not sure i can pay them if they agree to price. so pls tell me what you want to really buy and how much you are willing to pay,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,I cant keep talking people if am not sure i can pay them if they agree price. So pls tell me what you want really buy how much you willing pay,i cant keep talking to people if am not sure i can pay them if they agree to price. so pls tell me what you want to really buy and how much you are willing to pay
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994","thanks for your ringtone order, reference t91. you will be charged gbp 4 per week. you can unsubscribe at anytime by calling customer services on 09057039994","Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994","Thanks for your Ringtone Order, Reference T91. You will be charged GBP <NUM> per week. You can unsubscribe at anytime by calling customer services on <NUM>","Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994","Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994","Thanks your Ringtone Order, Reference T91. You charged GBP 4 per week. You can unsubscribe anytime calling customer services 09057039994","thanks for your ringtone order, reference t91. you will be charged gbp <NUM> per week. you can unsubscribe at anytime by calling customer services on <NUM>"
ham,Can you say what happen,can you say what happen,Can you say what happen,Can you say what happen,Can you say what happen,Can you say what happen,Can you say what happen,can you say what happen
ham,You could have seen me..i did't recognise you Face.:),you could have seen me..i did't recognise you face.:),You could have seen me..i did't recognise you Face.:),You could have seen me..i did't recognise you Face.:),You could have seen me..i did't recognise you Face,You could have seen me..i did't recognise you Face.:),You could have seen me..i did't recognise you Face.:),you could have seen me..i did't recognise you face
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,well there's not a lot of things happening in lindsay on new years *sighs* some bars in ptbo and the blue heron has something going,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,Well there's not lot things happening Lindsay New years *sighs* Some bars Ptbo blue heron something going,well there's not a lot of things happening in lindsay on new years *sighs* some bars in ptbo and the blue heron has something going
ham,Keep my payasam there if rinu brings,keep my payasam there if rinu brings,Keep my payasam there if rinu brings,Keep my payasam there if rinu brings,Keep my payasam there if rinu brings,Keep my payasam there if rinu brings,Keep my payasam there if rinu brings,keep my payasam there if rinu brings
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa dont mistake me..,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,I taught Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa dont mistake me
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.","i guess that's why you re worried. you must know that there's a way the body repairs itself. and i'm quite sure you shouldn't worry. we'll take it slow. first the tests, they will guide when your ovulation is then just relax. nothing you've said is a reason to worry but i.ll keep on followin you up.","I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.","I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.","I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up","I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.","I guess that's why you re worried. You must know there's way body repairs itself. And i'm quite sure you shouldn't worry. We'll take slow. First tests, they guide when your ovulation then just relax. Nothing you've said reason worry but i.ll keep followin you up.","i guess that's why you re worried. you must know that there's a way the body repairs itself. and i'm quite sure you shouldn't worry. we'll take it slow. first the tests, they will guide when your ovulation is then just relax. nothing you've said is a reason to worry but i.ll keep on followin you up"
ham,"Yeah sure, give me a couple minutes to track down my wallet","yeah sure, give me a couple minutes to track down my wallet","Yeah sure, give me a couple minutes to track down my wallet","Yeah sure, give me a couple minutes to track down my wallet","Yeah sure, give me a couple minutes to track down my wallet","Yeah sure, give me a couple minutes to track down my wallet","Yeah sure, give me couple minutes track down my wallet","yeah sure, give me a couple minutes to track down my wallet"
ham,Hey leave it. not a big deal:-) take care.,hey leave it. not a big deal:-) take care.,Hey leave it. not a big deal:-) take care.,Hey leave it. not a big deal:-) take care.,Hey leave it. not a big deal:-) take care,Hey leave it. not a big deal:-) take care.,Hey leave it. not big deal:-) take care.,hey leave it. not a big deal:-) take care
ham,Hey i will be late ah... Meet you at 945+,hey i will be late ah... meet you at 945+,Hey i will be late ah... Meet you at 945+,Hey i will be late ah... Meet you at <NUM>+,Hey i will be late ah... Meet you at 945,Hey i will be late ah... Meet you at 945+,Hey i late ah... Meet you 945+,hey i will be late ah... meet you at <NUM>
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","double mins and txts 4 6months free bluetooth on orange. available on sony, nokia motorola phones. call mobileupd8 on 08000839402 or call2optout/n9dx","Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","Double mins and txts <NUM> 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on <NUM> or call2optout/N9DX","Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","Double mins txts 4 6months FREE Bluetooth Orange. Available Sony, Nokia Motorola phones. Call MobileUpd8 08000839402 or call2optout/N9DX","double mins and txts <NUM> 6months free bluetooth on orange. available on sony, nokia motorola phones. call mobileupd8 on <NUM> or call2optout/n9dx"
ham,It took Mr owl 3 licks,it took mr owl 3 licks,It took Mr owl 3 licks,It took Mr owl <NUM> licks,It took Mr owl 3 licks,It took Mr owl 3 licks,It took Mr owl 3 licks,it took mr owl <NUM> licks
ham,Customer place i will call you.,customer place i will call you.,Customer place i will call you.,Customer place i will call you.,Customer place i will call you,Customer place i will call you.,Customer place i call you.,customer place i will call you
ham,Mm that time you dont like fun,mm that time you dont like fun,Mm that time you dont like fun,Mm that time you dont like fun,Mm that time you dont like fun,Mm that time you dont like fun,Mm time you dont like fun,mm that time you dont like fun
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price orange line rental & latest camera phones 4 free. had your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price Orange line rental & latest camera phones <NUM> FREE. Had your phone 11mths ? Call MobilesDirect free on <NUM> to update now! or2stoptxt,4mths half price Orange line rental latest camera phones 4 FREE. Had your phone 11mths Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free 08000938767 update now! or2stoptxt,4mths half price orange line rental latest camera phones <NUM> free. had your phone 11mths call mobilesdirect free on <NUM> to update now! or2stoptxt
ham,Yup having my lunch buffet now.. U eat already?,yup having my lunch buffet now.. u eat already?,Yup having my lunch buffet now.. U eat already?,Yup having my lunch buffet now.. U eat already?,Yup having my lunch buffet now.. U eat already,Yup having my lunch buffet now.. U eat already?,Yup having my lunch buffet now.. U eat already?,yup having my lunch buffet now.. u eat already
ham,Huh so late... Fr dinner?,huh so late... fr dinner?,Huh so late... Fr dinner?,Huh so late... Fr dinner?,Huh so late... Fr dinner,Huh so late... Fr dinner?,Huh so late... Fr dinner?,huh so late... fr dinner
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,hey so this sat are we going for the intro pilates only? or the kickboxing too?,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,Hey so this sat are we going for the intro pilates only? Or the kickboxing too,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,Hey so this sat we going intro pilates only? Or kickboxing too?,hey so this sat are we going for the intro pilates only? or the kickboxing too
ham,Morning only i can ok.,morning only i can ok.,Morning only i can ok.,Morning only i can ok.,Morning only i can ok,Morning only i can ok.,Morning only i can ok.,morning only i can ok
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,Yes i think so. I am office but my lap room i think thats last few days. I didnt shut down,yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down
ham,Pick you up bout 7.30ish? What time are  and that going?,pick you up bout 7.30ish? what time are  and that going?,Pick you up bout 7.30ish? What time are  and that going?,Pick you up bout <NUM>.30ish? What time are  and that going?,Pick you up bout 7.30ish? What time are  and that going,Pick you up bout 7.30ish? What time are and that going?,Pick you up bout 7.30ish? What time going?,pick you up bout <NUM>.30ish? what time are and that going
ham,From here after The performance award is calculated every two month.not for current one month period..,from here after the performance award is calculated every two month.not for current one month period..,From here after The performance award is calculated every two month.not for current one month period..,From here after The performance award is calculated every two month.not for current one month period..,From here after The performance award is calculated every two month.not for current one month period,From here after The performance award is calculated every two month.not for current one month period..,From here after The performance award calculated every two month.not current one month period..,from here after the performance award is calculated every two month.not for current one month period
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,was actually sleeping and still might when u call back. so a text is gr8. you rock sis. will send u a text wen i wake.,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,Was actually sleeping still might when u call back. So text gr8. You rock sis. Will send u text wen i wake.,was actually sleeping and still might when u call back. so a text is gr8. you rock sis. will send u a text wen i wake
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.","you are always putting your business out there. you put pictures of your ass on facebook. you are one of the most open people i've ever met. why would i think a picture of your room would hurt you, make you feel violated.","You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.","You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.","You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated","You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.","You always putting your business out there. You put pictures your ass facebook. You one most open people i've ever met. Why would i think picture your room would hurt you, make you feel violated.","you are always putting your business out there. you put pictures of your ass on facebook. you are one of the most open people i've ever met. why would i think a picture of your room would hurt you, make you feel violated"
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india.","Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India","Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","Good evening Sir, Al Salam Wahleykkum.sharing happy news.By grace God, i got offer Tayseer,TISSCO i joined.Hope you fine.Inshah Allah,meet you sometime.Rakhesh,visitor India.","good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india"
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,Hmmm...k...but i want change field quickly da:-)i wanna get system administrator or network administrator..,hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","free ringtone text first to 87131 for a poly or text get to 87131 for a true tone! help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to <NUM> for a poly or text GET to <NUM> for a true tone! Help? <NUM> <NUM> <NUM> after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST 87131 poly or text GET 87131 true tone! Help? 0845 2814032 16 after 1st free, tones 3x£150pw e£nd txt stop","free ringtone text first to <NUM> for a poly or text get to <NUM> for a true tone! help? <NUM> <NUM> <NUM> after 1st free, tones are 3x£150pw to e£nd txt stop"
ham,Dear how is chechi. Did you talk to her,dear how is chechi. did you talk to her,Dear how is chechi. Did you talk to her,Dear how is chechi. Did you talk to her,Dear how is chechi. Did you talk to her,Dear how is chechi. Did you talk to her,Dear how chechi. Did you talk her,dear how is chechi. did you talk to her
ham,The hair cream has not been shipped.,the hair cream has not been shipped.,The hair cream has not been shipped.,The hair cream has not been shipped.,The hair cream has not been shipped,The hair cream has not been shipped.,The hair cream not been shipped.,the hair cream has not been shipped
ham,None of that's happening til you get here though,none of that's happening til you get here though,None of that's happening til you get here though,None of that's happening til you get here though,None of that's happening til you get here though,None of that's happening til you get here though,None that's happening til you get here though,none of that's happening til you get here though
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","Yep, the great loxahatchee xmas tree burning of &lt;#&gt; starts in an hour","Yep, great loxahatchee xmas tree burning &lt;#&gt; starts hour","yep, the great loxahatchee xmas tree burning of &lt;#&gt; starts in an hour"
ham,"Haha get used to driving to usf man, I know a lot of stoners","haha get used to driving to usf man, i know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used driving usf man, I know lot stoners","haha get used to driving to usf man, i know a lot of stoners"
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,all was well until slightly disastrous class this pm with my fav darlings! hope day off ok. coffee wld be good as can't stay late tomorrow. same time + place as always?,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time place as always,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,All well until slightly disastrous class this pm my fav darlings! Hope day off ok. Coffee wld good can't stay late tomorrow. Same time + place always?,all was well until slightly disastrous class this pm with my fav darlings! hope day off ok. coffee wld be good as can't stay late tomorrow. same time place as always
ham,Hello! Good week? Fancy a drink or something later?,hello! good week? fancy a drink or something later?,Hello! Good week? Fancy a drink or something later?,Hello! Good week? Fancy a drink or something later?,Hello! Good week? Fancy a drink or something later,Hello! Good week? Fancy a drink or something later?,Hello! Good week? Fancy drink or something later?,hello! good week? fancy a drink or something later
ham,Headin towards busetop,headin towards busetop,Headin towards busetop,Headin towards busetop,Headin towards busetop,Headin towards busetop,Headin towards busetop,headin towards busetop
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U lot thats y everything missing sent via fullonsms.com,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com
ham,Come by our room at some point so we can iron out the plan for this weekend,come by our room at some point so we can iron out the plan for this weekend,Come by our room at some point so we can iron out the plan for this weekend,Come by our room at some point so we can iron out the plan for this weekend,Come by our room at some point so we can iron out the plan for this weekend,Come by our room at some point so we can iron out the plan for this weekend,Come our room some point so we can iron out plan this weekend,come by our room at some point so we can iron out the plan for this weekend
ham,Cos i want it to be your thing,cos i want it to be your thing,Cos i want it to be your thing,Cos i want it to be your thing,Cos i want it to be your thing,Cos i want it to be your thing,Cos i want your thing,cos i want it to be your thing
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...","okies... i'll go yan jiu too... we can skip ard oso, go cine den go mrt one, blah blah blah...","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...","okies... i'll go yan jiu too... we can skip ard oso, go cine den go mrt one, blah blah blah"
ham,Bring home some Wendy =D,bring home some wendy =d,Bring home some Wendy =D,Bring home some Wendy =D,Bring home some Wendy =D,Bring home some Wendy =D,Bring home some Wendy =D,bring home some wendy =d
spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,<NUM> dating service cal;l <NUM> box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,<NUM> dating service cal;l <NUM> box334sk38ch
ham,Whatsup there. Dont u want to sleep,whatsup there. dont u want to sleep,Whatsup there. Dont u want to sleep,Whatsup there. Dont u want to sleep,Whatsup there. Dont u want to sleep,Whatsup there. Dont u want to sleep,Whatsup there. Dont u want sleep,whatsup there. dont u want to sleep
ham,Alright i have a new goal now,alright i have a new goal now,Alright i have a new goal now,Alright i have a new goal now,Alright i have a new goal now,Alright i have a new goal now,Alright i have new goal now,alright i have a new goal now
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entry into our £250 weekly competition just text the word win to 80086 now. 18 t&c www.txttowin.co.uk,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C <URL>,FREE entry into our £<NUM> weekly competition just text the word WIN to <NUM> NOW. <NUM> T&C www.txttowin.co.uk,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,FREE entry into our £250 weekly competition just text word WIN 80086 NOW. 18 T&C www.txttowin.co.uk,free entry into our £<NUM> weekly competition just text the word win to <NUM> now. <NUM> t&c <URL>
